date,total_upi_txn_count,avg_txn_value_inr,notes
2024-11-01,5124983,778.61,Synthetic demo data for KIRO Week 3 project
2024-11-02,5049313,733.25,Synthetic demo data for KIRO Week 3 project
2024-11-03,4913488,825.71,Synthetic demo data for KIRO Week 3 project
2024-11-04,5066194,810.08,Synthetic demo data for KIRO Week 3 project
2024-11-05,4839144,811.64,Synthetic demo data for KIRO Week 3 project
2024-11-06,5022617,743.62,Synthetic demo data for KIRO Week 3 project
2024-11-07,4561887,836.11,Synthetic demo data for KIRO Week 3 project
2024-11-08,4895819,723.93,Synthetic demo data for KIRO Week 3 project
2024-11-09,4941184,803.47,Synthetic demo data for KIRO Week 3 project
2024-11-10,4615630,867.62,Synthetic demo data for KIRO Week 3 project
2024-11-11,4846947,740.38,Synthetic demo data for KIRO Week 3 project
2024-11-12,4950859,757.35,Synthetic demo data for KIRO Week 3 project
2024-11-13,4795467,783.99,Synthetic demo data for KIRO Week 3 project
2024-11-14,4902265,759.86,Synthetic demo data for KIRO Week 3 project
2024-11-15,4714552,717.97,Synthetic demo data for KIRO Week 3 project
2024-11-16,4896497,782.74,Synthetic demo data for KIRO Week 3 project
2024-11-17,4948593,737.51,Synthetic demo data for KIRO Week 3 project
2024-11-18,4879658,798.94,Synthetic demo data for KIRO Week 3 project
2024-11-19,4975807,743.22,Synthetic demo data for KIRO Week 3 project
2024-11-20,4938496,842.0,Synthetic demo data for KIRO Week 3 project
2024-11-21,5274996,748.67,Synthetic demo data for KIRO Week 3 project
2024-11-22,4958308,767.12,Synthetic demo data for KIRO Week 3 project
2024-11-23,4670005,812.54,Synthetic demo data for KIRO Week 3 project
2024-11-24,4988833,730.77,Synthetic demo data for KIRO Week 3 project
2024-11-25,4677094,789.1,Synthetic demo data for KIRO Week 3 project
2024-11-26,4802448,832.29,Synthetic demo data for KIRO Week 3 project
2024-11-27,5009035,715.7,Synthetic demo data for KIRO Week 3 project
2024-11-28,5369486,787.39,Synthetic demo data for KIRO Week 3 project
2024-11-29,4969561,790.4,Synthetic demo data for KIRO Week 3 project
2024-11-30,5045232,811.27,Synthetic demo data for KIRO Week 3 project
