date,city,avg_temp_c,humidity_pct,rain_mm,condition
2024-11-01,Mumbai,31.0,54,0.2,Cloudy
2024-11-02,Mumbai,29.7,79,0.0,Clear
2024-11-03,Mumbai,31.3,60,0.1,Cloudy
2024-11-04,Mumbai,33.0,49,0.2,Cloudy
2024-11-05,Mumbai,29.5,68,2.9,Cloudy
2024-11-06,Mumbai,29.5,48,2.0,Cloudy
2024-11-07,Mumbai,33.2,62,5.5,Rainy
2024-11-08,Mumbai,31.5,40,0.9,Cloudy
2024-11-09,Mumbai,29.1,47,0.0,Clear
2024-11-10,Mumbai,31.1,62,2.7,Cloudy
2024-11-11,Mumbai,29.1,67,3.3,Cloudy
2024-11-12,Mumbai,29.1,62,1.5,Cloudy
2024-11-13,Mumbai,30.5,59,3.4,Cloudy
2024-11-14,Mumbai,26.2,57,1.0,Cloudy
2024-11-15,Mumbai,26.6,45,1.2,Cloudy
2024-11-16,Mumbai,28.9,53,0.7,Cloudy
2024-11-17,Mumbai,28.0,55,0.0,Clear
2024-11-18,Mumbai,30.6,71,0.0,Clear
2024-11-19,Mumbai,28.2,63,0.0,Clear
2024-11-20,Mumbai,27.2,42,2.0,Cloudy
2024-11-21,Mumbai,32.9,63,0.1,Cloudy
2024-11-22,Mumbai,29.5,56,1.1,Cloudy
2024-11-23,Mumbai,30.1,53,6.1,Rainy
2024-11-24,Mumbai,27.2,66,0.0,Clear
2024-11-25,Mumbai,28.9,70,0.6,Cloudy
2024-11-26,Mumbai,30.2,69,3.2,Cloudy
2024-11-27,Mumbai,27.7,52,0.0,Clear
2024-11-28,Mumbai,30.8,57,0.0,Clear
2024-11-29,Mumbai,28.8,63,0.0,Cloudy
2024-11-30,Mumbai,29.4,70,0.0,Clear
